nome_produto;preco_atual;descricao;cor;tamanhos_disponiveis;objetivo;url_site;url_imagem;loja;categoria;genero_destinado
adidas Tênis adidas Gazelle Bold Feminino;699.99;Tênis adidas Gazelle Bold Feminino Verde Características O Tênis adidas Gazelle Bold Feminino Verde é feito de um material de alta qualidade, que combina couro e camurça para proporcionar conforto, durabilidade e muito estilo. O couro confere resistência e elegância ao calçado, enquanto a camurça garante maciez e um toque de sofisticação. A combinação desses materiais resulta em um tênis que se destaca pela sua versatilidade, podendo ser usado tanto em looks mais casuais quanto em produções mais elaboradas. A cor Verde traz um toque de frescor e originalidade ao visual, combinando perfeitamente com diferentes estilos, desde os mais despojados até os mais modernos. Versatilidade O Tênis adidas Gazelle Bold Feminino Verde é um verdadeiro coringa no guarda-roupa feminino. Com design esportivo e elegante, ele se encaixa perfeitamente no estilo Athleisure, que une peças esportivas com elementos do dia a dia. Esse tênis pode ser usado em diversas ocasiões, desde um passeio no parque até um encontro com as amigas. Sua versatilidade permite combiná-lo com saias, vestidos, calças jeans e até mesmo peças mais formais, criando looks únicos e cheios de personalidade. Seja para um look descontraído ou para um visual mais elaborado, o Tênis adidas Gazelle Bold Feminino Verde é a escolha perfeita para quem busca conforto, estilo e versatilidade.;Verde;Não informado;Esportivo / Dia a Dia;https://www.artwalk.com.br/tenis-adidas-gazelle-bold-feminino-ji032-5-300/p;https://artwalk.vtexassets.com/arquivos/ids/577360-300-375?v=638816454106300000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Nike Tênis Nike Air Max DN Masculino;1299.99;Tênis Nike Air Max DN Masculino Preto Se você é do tipo que gosta de andar por aí com estilo, conforto e qualidade, então você precisa conhecer o Tênis Nike Air Max DN Masculino Preto. Este tênis, com seu design inovador e tecnologia avançada, é perfeito para qualquer pessoa que valoriza a própria aparência e o próprio bem-estar. Características O Tênis Nike Air Max DN Masculino Preto é feito de materiais de alta qualidade para garantir durabilidade e conforto. O cabedal é confeccionado em material resistente e confortável, garantindo um ajuste perfeito ao pé. A entressola, por sua vez, conta com a icônica tecnologia Air Max, que oferece amortecimento superior e absorção de impactos. E não podemos esquecer do solado, que é feito de borracha resistente para garantir tração e segurança ao caminhar.Mas não é só de características técnicas que este tênis é feito. Ele também conta com um design moderno e elegante, com a cor preta dominando o visual e dando um toque de sofisticação. O logo da Nike, claro, aparece em destaque, garantindo a autenticidade do produto. Versatilidade O Tênis Nike Air Max DN Masculino Preto é incrivelmente versátil. Seja para um passeio casual no parque, para o dia a dia na cidade ou até mesmo para uma corrida leve, este tênis se adapta perfeitamente. O design moderno e a cor preta tornam possível combiná-lo com praticamente qualquer roupa, do casual ao esportivo. E com o conforto e a qualidade que ele oferece, você vai querer usar o seu Tênis Nike Air Max DN Masculino Preto todos os dias.Em resumo, este é um tênis que combina estilo, conforto e qualidade em um único produto. Não perca a chance de ter o seu!;Preto;Não informado;Corrida / Esportivo;https://www.artwalk.com.br/tenis-nike-air-max-dn-masculino-ib806-5-045/p;https://artwalk.vtexassets.com/arquivos/ids/577216-300-375?v=638816390525970000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Vans Tênis Vans Knu Skool Unissex;649.99;Tênis Vans Knu Skool Unissex Marrom Características O Tênis Vans Knu Skool Unissex na cor Marrom é a combinação perfeita de estilo e durabilidade. Feito de couro sintético, o material sintético de alta qualidade garante conforto e resistência, proporcionando uma excelente experiência ao usuário. Além disso, a cor Marrom confere um toque de sofisticação e versatilidade ao visual, combinando facilmente com diferentes estilos e cores de roupa. Versatilidade Com um design moderno e urbano, o Tênis Vans Knu Skool Unissex Marrom é extremamente versátil e pode ser usado em diversas ocasiões. Seja para um passeio descontraído, uma saída com amigos ou até mesmo para um look mais casual no trabalho, este tênis se encaixa perfeitamente no estilo atletico, que une conforto e estilo de forma elegante. Escolha o Tênis Vans Knu Skool Unissex Marrom e esteja pronto para arrasar em qualquer ocasião!;Marrom;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-vans-knu-skool-unissex-d6cdf-m-200/p;https://artwalk.vtexassets.com/arquivos/ids/577212-300-375?v=638816387533730000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
adidas Tênis adidas Sambae Feminino;799.99;Tênis adidas Sambae Feminino Rosa Características O Tênis adidas Sambae Feminino na cor Rosa é uma combinação perfeita de estilo, conforto e durabilidade. Feito com material de alta qualidade, proporciona um ajuste preciso que abraça seus pés, garantindo conforto durante todo o dia. Além disso, a construção resistente do tênis adidas Sambae garante sua durabilidade, tornando-o um investimento que você poderá desfrutar por muito tempo. A cor Rosa traz um toque de feminilidade e estilo ao seu visual, permitindo combinações versáteis e cheias de personalidade. Seja para um look casual ou para um estilo esportivo, esse tênis é a escolha perfeita para quem busca conforto e elegância. Versatilidade Com o Tênis adidas Sambae Feminino Rosa, você poderá transitar entre diferentes ocasiões com facilidade. Seja para um passeio no parque, um dia de compras ou até mesmo para um compromisso mais descontraído, esse modelo é versátil e se encaixa perfeitamente em qualquer situação. Sua versatilidade no estilo Athleisure permite que você combine o tênis com peças mais casuais ou até mesmo com looks mais elaborados, criando produções únicas e cheias de personalidade. Escolha o Tênis adidas Sambae Feminino Rosa e adicione um toque de estilo e conforto ao seu dia a dia.;Rosa;Não informado;Esportivo / Casual;https://www.artwalk.com.br/tenis-adidas-sambae-feminino-jh883-4-600/p;https://artwalk.vtexassets.com/arquivos/ids/577304-300-375?v=638816417859130000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Gazelle Masculino;449.99;Tênis adidas Gazelle Masculino Verde Características O Tênis adidas Gazelle Masculino na cor Verde é confeccionado com materiais de alta qualidade, proporcionando conforto, durabilidade e muito estilo. O material utilizado na fabricação garante um ajuste perfeito aos pés, permitindo que você caminhe com leveza e segurança. Além disso, a cor Verde é uma escolha vibrante e moderna, que combina facilmente com diferentes estilos de roupa, proporcionando um toque de personalidade ao seu visual. Versatilidade Este Tênis adidas Gazelle é extremamente versátil e pode ser usado em diversas ocasiões. Seja para um look mais casual no dia a dia ou para um estilo Athleisure, que une conforto e moda, este tênis é a escolha perfeita. Com um design clássico e atemporal, ele se adapta facilmente a diferentes situações, garantindo sempre um visual despojado e cheio de personalidade. Adquira já o seu e esteja preparado para arrasar em qualquer momento!;Verde;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-adidas-gazelle-masculino-if965-5-300/p;https://artwalk.vtexassets.com/arquivos/ids/577344-300-375?v=638816446839530000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
adidas Tênis adidas Forum 2000 Feminino;799.99;Tênis adidas Forum 2000 Feminino Cinza Características O Tênis adidas Forum 2000 Feminino é confeccionado em material de alta qualidade, proporcionando conforto excepcional, durabilidade e um estilo único. A escolha desse material foi pensada para garantir flexibilidade e resistência, tornando-o perfeito para o uso diário. Além disso, a cor Cinza dá um toque sofisticado e moderno ao calçado, sendo uma opção versátil que combina facilmente com diferentes estilos de roupa, desde looks mais casuais até produções mais elegantes. Versatilidade Com seu design versátil e moderno, o Tênis adidas Forum 2000 Feminino é perfeito para diversas ocasiões, destacando-se especialmente no estilo. Seja para um passeio no parque, um dia de compras ou até mesmo para um evento mais descontraído, este tênis é a escolha ideal. Sua versatilidade permite que seja combinado com peças esportivas, como leggings e moletom, ou com peças mais refinadas, como vestidos e saias, criando looks cheios de estilo e personalidade. Com o Tênis adidas Forum 2000 Feminino Cinza, você estará sempre pronta para arrasar em qualquer situação!;Cinza;Não informado;Passeio / Estilo;https://www.artwalk.com.br/tenis-adidas-forum-2000-feminino-js078-8-001/p;https://artwalk.vtexassets.com/arquivos/ids/577141-300-375?v=638815522560200000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Samba Og Feminino;799.99;Tênis adidas Samba Og Feminino Bege Características O Tênis adidas Samba Og Feminino na cor Bege é uma opção versátil e estilosa para o seu dia a dia. Seu material de alta qualidade proporciona conforto e durabilidade, garantindo que você esteja sempre bem calçada. Além disso, o design clássico e elegante do modelo Samba Og se destaca, adicionando um toque de estilo único ao seu visual. A cor Bege é uma escolha atemporal que combina perfeitamente com diferentes estilos, desde looks mais casuais até produções mais sofisticadas, permitindo que você crie composições incríveis com muita facilidade. Versatilidade Com o Tênis adidas Samba Og Feminino Bege, você tem em mãos um calçado que pode ser facilmente adaptado para diversas ocasiões. Sua versatilidade permite que você o use tanto em momentos mais descontraídos, como em passeios no parque ou encontros com os amigos, quanto em ocasiões em que é preciso um toque mais despojado, mas sem perder a elegância. Seja para um dia agitado no trabalho ou para um passeio relaxante no final de semana, este tênis é a escolha perfeita para quem busca conforto, estilo e praticidade em um só produto.;Bege;Não informado;Dia a Dia / Passeio;https://www.artwalk.com.br/tenis-adidas-samba-og-feminino-ji267-8-200/p;https://artwalk.vtexassets.com/arquivos/ids/577159-300-375?v=638815537025330000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Samba Og Feminino;799.99;Tênis adidas Samba Og Feminino Rosa Características O Tênis adidas Samba Og Feminino Rosa é produzido com um material de alta qualidade que combina conforto, durabilidade e estilo. O material utilizado garante uma sensação agradável nos pés, proporcionando um ajuste perfeito e resistência para o uso diário. Além disso, o design em cor Rosa adiciona um toque de feminilidade e modernidade, permitindo combinações versáteis com diferentes looks e estilos. Versatilidade Com seu design elegante e esportivo, o Tênis adidas Samba Og Feminino Rosa é perfeito para diversas ocasiões. Seja para um passeio no parque, uma ida à academia ou até mesmo um encontro casual com amigos, este tênis se destaca pela Sua versatilidade. Combinando conforto e fashionismo, ele é o complemento ideal para um visual despojado e cheio de personalidade.;Rosa;Não informado;Academia / Esportivo;https://www.artwalk.com.br/tenis-adidas-samba-og-feminino-jh729-9-600/p;https://artwalk.vtexassets.com/arquivos/ids/577167-300-375?v=638815543352670000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Veja Tênis Veja Condor 3 Advanced X Cesar Villalba Unissex;990.99;Tênis Veja Condor 3 Advanced X Cesar Villalba Unissex Multicolor Características Se você procura um tênis que une estilo, conforto e sustentabilidade, o Tênis Veja Condor 3 Advanced X Cesar Villalba é a escolha perfeita. Com sua construção em malha projetada, este tênis garante durabilidade e resistência, além de ser eco-friendly. Versatilidade Com design multicolorido, este modelo é perfeito para adicionar um toque de cor e modernidade ao seu visual. Ideal para compor looks casuais e descolados, o Tênis Veja Condor 3 Advanced X Cesar Villalba é uma ótima opção para quem busca um calçado versátil e cheio de personalidade. Garanta o seu e arrase por onde passar!;Multicolor;Não informado;Estilo;https://www.artwalk.com.br/tenis-veja-condor-3-advanced-x-cesar-villalba-unissex-20721-b-900/p;https://artwalk.vtexassets.com/arquivos/ids/576946-300-375?v=638814544755100000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Nike Tênis Nike Dunk Low Retro SE Masculino;899.99;Tênis Nike Dunk Low Retro Se Masculino Cinza Dê um passo adiante em estilo e conforto com o Tênis Nike Dunk Low Retro Se Masculino na cor cinza. Trazendo um design clássico com um toque moderno, esse tênis é uma escolha perfeita para quem busca um calçado estiloso e versátil. Características Fabricado com material têxtil de alta qualidade, o Tênis Nike Dunk Low Retro Se Masculino tem um acabamento impecável, oferecendo durabilidade e resistência. Seu design cinza é elegante e minimalista, perfeito para combinar com uma variedade de roupas e estilos. Este tênis não traz apenas estilo, mas também conforto. Seu interior é suave e respirável, proporcionando uma experiência de uso agradável durante todo o dia. Além disso, sua sola é feita para proporcionar uma aderência fantástica, permitindo que você se mova com confiança em qualquer superfície. Versatilidade Quando se trata de versatilidade, o Tênis Nike Dunk Low Retro Se Masculino realmente se destaca. Sua cor cinza neutra faz dele a escolha perfeita para combinar com qualquer look. Vai bem com jeans para um visual casual, mas também pode ser usado com roupas de ginástica para um look mais esportivo.Além disso, este tênis não é apenas para a moda. É perfeito para uma variedade de atividades, desde correr na pista até relaxar com amigos. Seja qual for a ocasião, o Tênis Nike Dunk Low Retro Se Masculino é uma escolha sólida que certamente irá melhorar o seu estilo. Então, o que você está esperando? Adicione um pouco de estilo retrô ao seu guarda-roupa com o Tênis Nike Dunk Low Retro Se Masculino Cinza!;Cinza;Não informado;Esportivo / Casual;https://www.artwalk.com.br/tenis-nike-dunk-low-retro-se-masculino-hj432-9-001/p;https://artwalk.vtexassets.com/arquivos/ids/576973-300-375?v=638814576051630000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Puma Tênis Puma Speedcat Unissex;799.99;´ Tênis Puma Speedcat Unissex Verde Faça uma declaração de estilo com o Tênis Puma Speedcat Unissex em verde vibrante! Este tênis é tudo sobre misturar estilo clássico com um toque moderno. Confeccionado com camurça de alta qualidade com um efeito desbotado intrigante, este tênis é uma combinação perfeita de estilo e conforto. Características O Tênis Puma Speedcat Unissex, em um tom de verde ousado, é mais do que apenas um calçado. Ele é uma declaração de estilo! Feito de camurça premium, este tênis apresenta um efeito desbotado único que adiciona um toque de elegância vintage. O design clássico do Speedcat é aprimorado com a logo Puma na lateral, garantindo que você mostre sua marca favorita.Apesar de sua aparência robusta, este tênis é incrivelmente leve, proporcionando conforto durante todo o dia. A sola de borracha oferece excelente tração, tornando-o perfeito para qualquer atividade, seja uma corrida rápida ou um passeio casual pela cidade. Versatilidade O Tênis Puma Speedcat Unissex não é apenas para os apaixonados por esportes, mas também para os amantes da moda. Sua cor verde vibrante é uma ótima maneira de adicionar um toque de cor ao seu guarda-roupa. Graças ao seu design clássico e cor versátil, este tênis pode ser facilmente combinado com uma variedade de roupas, desde jeans e uma camiseta até um look mais esportivo com shorts e uma camiseta.Então, se você está procurando por um tênis que combina estilo, conforto e versatilidade, o Tênis Puma Speedcat Unissex Verde é a escolha perfeita para você. Agarre um par hoje e sinta a diferença!´;Verde;Não informado;Corrida / Esportivo;https://www.artwalk.com.br/tenis-puma-speedcat-unissex-40153-2-001/p;https://artwalk.vtexassets.com/arquivos/ids/576892-300-375?v=638814408392600000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
Veja Tênis Veja Condor 3 Advanced X Cesar Villalba Masculino;990.99;Tênis Veja Condor 3 Advanced X Cesar Villalba Masculino Verde Características Este Tênis Veja Condor 3 Advanced X Cesar Villalba é o resultado da colaboração com o renomado designer de moda argentino. Feito com CDR de malha projetada, este tênis combina estilo e tecnologia em um único produto. O design inovador e a cor verde vibrante tornam o tênis um verdadeiro destaque. Versatilidade Com o Tênis Veja Condor 3 Advanced X Cesar Villalba, você pode compor looks tanto para o dia a dia quanto para práticas esportivas. O conforto e a durabilidade do material fazem com que este tênis seja perfeito para todas as ocasiões. Além disso, a cor verde traz um toque de estilo único para o seu visual. Garanta já o seu e esteja pronto para arrasar em qualquer lugar!;Verde;Não informado;Dia a Dia / Estilo;https://www.artwalk.com.br/tenis-veja-condor-3-advanced-x-cesar-villalba-masculino-20724-b-300/p;https://artwalk.vtexassets.com/arquivos/ids/576952-300-375?v=638814548605570000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
